ds,y
2021-01-31,6621
2021-02-28,10383
2021-03-31,19167
2021-04-30,13745
2021-05-31,50073
2021-06-30,87936
2021-07-31,158094
2021-08-31,232700
2021-09-30,116844
2021-10-31,46132
2021-11-30,24778
2021-12-31,15895
2022-01-31,13708
2022-02-28,12440
2022-03-31,20579
2022-04-30,44088
2022-05-31,123614
2022-06-30,202636
2022-07-31,354499
2022-08-31,316646
2022-09-30,141279
2022-10-31,68204
2022-11-30,31454
2022-12-31,17512
2023-01-31,17005
2023-02-28,19071
2023-03-31,25663
2023-04-30,66415
2023-05-31,162691
2023-06-30,208501
2023-07-31,343412
2023-08-31,341973
2023-09-30,177064
2023-10-31,78723
2023-11-30,28877
2023-12-31,22078
